ordinal,name,rva,kind,pdb_rva_candidates
4125,?MoveWindow@CWnd@@QAEXHHHHH@Z,0x000908ff,code,1
4135,?NegotiateBorderSpace@CFrameWnd@@UAEHIPAUtagRECT@@@Z,0x0009d54f,code,1
4172,?OnActivateFrame@CView@@MAEXIPAVCFrameWnd@@@Z,0x00035553,code,3
4181,?OnActivateView@CView@@MAEXHPAV1@0@Z,0x00035843,code,1
4185,?OnAmbientProperty@CWnd@@UAEHPAVCOleControlSite@@JPAUtagVARIANT@@@Z,0x000907ca,code,1
4190,?OnApply@CPropertyPage@@UAEHXZ,0x000a0d09,code,1
4196,?OnBarStyleChange@CControlBar@@UAEXKK@Z,0x000a9d05,code,1
4204,?OnBeginPrinting@CView@@MAEXPAVCDC@@PAUCPrintInfo@@@Z,0x00035553,code,3
4212,?OnCancel@CDialog@@MAEXXZ,0x0008face,code,1
4213,?OnCancel@CPropertyPage@@UAEXXZ,0x00038aba,code,3
4222,?OnChangedViewList@CDocument@@UAEXXZ,0x00035831,code,1
4232,?OnChildNotify@CButton@@MAEHIIJPAJ@Z,0x0000db93,code,2
4233,?OnChildNotify@CCheckListBox@@MAEHIIJPAJ@Z,0x000a0755,code,1
4234,?OnChildNotify@CComboBox@@MAEHIIJPAJ@Z,0x000384c2,code,1
4237,?OnChildNotify@CListBox@@MAEHIIJPAJ@Z,0x0009f52c,code,1
4238,?OnChildNotify@CListCtrl@@MAEHIIJPAJ@Z,0x00088e7d,code,4
4240,?OnChildNotify@CStatic@@MAEHIIJPAJ@Z,0x0000db93,code,2
4243,?OnChildNotify@CTabCtrl@@MAEHIIJPAJ@Z,0x00088e7d,code,4
4244,?OnChildNotify@CWnd@@MAEHIIJPAJ@Z,0x00033b68,code,1
4257,?OnCloseDocument@CDocument@@UAEXXZ,0x0003611f,code,1
4261,?OnCmdMsg@CCmdTarget@@UAEHIHPAXPAUAFX_CMDHANDLERINFO@@@Z,0x00031859,code,1
4262,?OnCmdMsg@CDialog@@UAEHIHPAXPAUAFX_CMDHANDLERINFO@@@Z,0x0000db1b,code,1
4264,?OnCmdMsg@CDocument@@UAEHIHPAXPAUAFX_CMDHANDLERINFO@@@Z,0x00032092,code,1
4265,?OnCmdMsg@CFrameWnd@@UAEHIHPAXPAUAFX_CMDHANDLERINFO@@@Z,0x00031d8c,code,1
4272,?OnCmdMsg@CPropertySheet@@UAEHIHPAXPAUAFX_CMDHANDLERINFO@@@Z,0x000a12dc,code,1
4273,?OnCmdMsg@CView@@UAEHIHPAXPAUAFX_CMDHANDLERINFO@@@Z,0x00031ff0,code,1
4277,?OnCommand@CFrameWnd@@MAEHIJ@Z,0x00035e26,code,1
4280,?OnCommand@CPropertySheet@@UAEHIJ@Z,0x000a0e27,code,1
4282,?OnCommand@CWnd@@MAEHIJ@Z,0x00035c7a,code,1
4299,?OnCreate@CFrameWnd@@IAEHPAUtagCREATESTRUCTA@@@Z,0x0000c7ca,code,1
4306,?OnCreate@CView@@IAEHPAUtagCREATESTRUCTA@@@Z,0x0001240c,code,1
4307,?OnCreateAggregates@CCmdTarget@@UAEHXZ,0x000319a8,code,3
4309,?OnCreateClient@CFrameWnd@@MAEHPAUtagCREATESTRUCTA@@PAUCCreateContext@@@Z,0x0000d5e4,code,1
4326,?OnDDECommand@CWinApp@@UAEHPAD@Z,0x0009cc48,code,1
4342,?OnDestroy@CFrameWnd@@IAEXXZ,0x00036018,code,1
4352,?OnDestroy@CView@@IAEXXZ,0x00036714,code,1
4353,?OnDestroy@CWnd@@IAEXXZ,0x000365d6,code,1
4379,?OnDragEnter@CView@@UAEKPAVCOleDataObject@@KVCPoint@@@Z,0x00093f93,code,3
4381,?OnDragLeave@CView@@UAEXXZ,0x000935b1,code,3
4384,?OnDragOver@CView@@UAEKPAVCOleDataObject@@KVCPoint@@@Z,0x00093f93,code,3
4386,?OnDragScroll@CView@@UAEKKVCPoint@@@Z,0x00093f8b,code,1
4399,?OnDrop@CView@@UAEHPAVCOleDataObject@@KVCPoint@@@Z,0x00093f93,code,3
4401,?OnDropEx@CView@@UAEKPAVCOleDataObject@@KKVCPoint@@@Z,0x00093f98,code,1
4443,?OnEndPrinting@CView@@MAEXPAVCDC@@PAUCPrintInfo@@@Z,0x00035553,code,3
4444,?OnEndPrintPreview@CView@@MAEXPAVCDC@@PAUCPrintInfo@@UtagPOINT@@PAVCPreviewView@@@Z,0x00019b8f,code,1
4467,?OnFileNew@CWinApp@@IAEXXZ,0x000031bc,code,1
4469,?OnFileOpen@CWinApp@@IAEXXZ,0x0009ce54,code,1
4471,?OnFilePrint@CView@@IAEXXZ,0x00009060,code,1
4472,?OnFilePrintPreview@CView@@IAEXXZ,0x0001366d,code,1
