name,target_rva,target_size,source,notes
??1Gen_dtor_003d1350@@UAE@XZ,0x003D0D70,295,Code/gen_small/dtors_005.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_003d2190@@UAE@XZ,0x003D18E0,298,Code/gen_small/dtors_005.cpp,reloc-derived;call-sites=1;identity=generated
?call@Gen00025603@@QAEXXZ,0x003D1A60,1450,Code/GameEngine/Source/Common/Y1MemberVectorForEach.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_003d2f10@@UAE@XZ,0x003D2D00,203,Code/gen_small/dtors_005.cpp,reloc-derived;call-sites=1;identity=generated
?call@Gen00018BF1@@QAEXXZ,0x003D2E00,175,Code/GameEngine/Source/Common/Y1MemberVectorForEach.cpp,reloc-derived;call-sites=1;identity=generated
?bfmeFlush@Rva003D8530Owner@@QAEXXZ,0x003D55C0,68,Code/GameEngine/Source/Common/MemoryPoolDestructor.cpp,reloc-derived;call-sites=1;identity=generated
?removeObjectFromPathfindMap@Pathfinder@@QAEXPAVObject@@@Z,0x003D5810,17,Code/GameEngine/Source/Common/Player_onStructureConstructionComplete_Thunk.cpp,reloc-derived;call-sites=2;identity=real
?iterateCellsAlongLine@Pathfinder@@QAEHABUICoord2D@@0W4PathfindLayerEnum@@PAURva003D7440Struct@@@Z,0x003D7440,433,Code/GameEngine/Source/GameLogic/AI/pathfind_iterateCellsAlongLine_world.cpp,reloc-derived;call-sites=1;identity=generated
?iterateCellsAlongLine@Pathfinder@@QAEHABUICoord2D@@0W4PathfindLayerEnum@@PAURva003D7680Struct@@@Z,0x003D7680,666,Code/GameEngine/Source/GameLogic/AI/pathfind_iterateCellsAlongLine_world.cpp,reloc-derived;call-sites=1;identity=generated
?iterateCellsAlongLine@Pathfinder@@QAEHABUICoord2D@@0W4PathfindLayerEnum@@PAURva003D79C0Struct@@@Z,0x003D79C0,557,Code/GameEngine/Source/GameLogic/AI/pathfind_iterateCellsAlongLine_world.cpp,reloc-derived;call-sites=1;identity=generated
?bfmeDrop@Rva003D8530Owner@@QAEXPAX@Z,0x003D8530,112,Code/GameEngine/Source/Common/MemoryPoolDestructor.cpp,reloc-derived;call-sites=1;identity=generated
?validMovementTerrain@Pathfinder@@QAE_NHPBVLocomotor@@PBUCoord3D@@@Z,0x003D85C0,219,Code/GameEngine/Source/Common/TransportContain_isSpecificRiderFreeToExit_Thunk.cpp,reloc-derived;call-sites=1;identity=real
?validMovementPosition@BFMEPathfinderMove@@QAE_NPBUCoord3D@@W4PathfindLayerEnum@@IPAVObject@@@Z,0x003DB520,226,Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_003de910@@UAE@XZ,0x003DC040,229,Code/gen_small/dtors_005.cpp,reloc-derived;call-sites=1;identity=generated
?bfmeOneDSV@BfmeSubDSV@@QAEXXZ,0x003DC190,716,Code/GameEngine/Source/Common/BfmeConv777.cpp,reloc-derived;call-sites=1;identity=real
?iterateCellsAlongLine@Pathfinder@@QAEHABUICoord2D@@0W4PathfindLayerEnum@@PAURva003DE480Struct@@@Z,0x003DE480,475,Code/GameEngine/Source/GameLogic/AI/pathfind_iterateCellsAlongLine_world.cpp,reloc-derived;call-sites=1;identity=generated
??0TightenPathStruct@@QAE@PAVPathfinder@@PAVObject@@PBVLocomotorSet@@W4PathfindLayerEnum@@PBUCoord3D@@@Z,0x003E1720,92,Code/GameEngine/Source/GameLogic/AI/pathfind_tightenPath.cpp,reloc-derived;call-sites=1;identity=real
?iterateCellsAlongLine@Pathfinder@@QAEHABUICoord2D@@0W4PathfindLayerEnum@@PAUViewAttackBlockedStruct@@@Z,0x003E3190,475,Code/GameEngine/Source/GameLogic/AI/pathfind_iterateCellsAlongLine_world.cpp,reloc-derived;call-sites=1;identity=real
?iterateCellsAlongLine@Pathfinder@@QAEHABUICoord2D@@0W4PathfindLayerEnum@@PAURva003E3650Struct@@@Z,0x003E3650,538,Code/GameEngine/Source/GameLogic/AI/pathfind_iterateCellsAlongLine_world.cpp,reloc-derived;call-sites=1;identity=generated
?removeGoal@Pathfinder@@QAEXPAVObject@@@Z,0x003E3D20,466,Code/GameEngine/Source/GameLogic/AI/AIMoveAwayFromRepulsorsState_onEnter_Thunk.cpp,reloc-derived;call-sites=2;identity=real
?removePos@Pathfinder@@QAEXPAVObject@@@Z,0x003E3F70,424,Code/GameEngine/Source/GameLogic/Object/Object.cpp,reloc-derived;call-sites=1;identity=real
?bfmeLayerForPosition@Pathfinder@@QAEHPAVObject@@UCoord3D@@@Z,0x003E5CA0,330,Code/GameEngine/Source/GameLogic/Object/Object_bfmeExpireForcedGroundLayer.cpp,reloc-derived;call-sites=1;identity=real
?iterateCellsAlongLine@Pathfinder@@QAEHABUICoord2D@@0W4PathfindLayerEnum@@PAURva003E7F80Struct@@@Z,0x003E7F80,475,Code/GameEngine/Source/GameLogic/AI/pathfind_iterateCellsAlongLine_world.cpp,reloc-derived;call-sites=1;identity=generated
?iterateCellsAlongLine@Pathfinder@@QAEHABUICoord2D@@0W4PathfindLayerEnum@@PAURva003E81E0Struct@@@Z,0x003E81E0,475,Code/GameEngine/Source/GameLogic/AI/pathfind_iterateCellsAlongLine_world.cpp,reloc-derived;call-sites=1;identity=generated
