finding,file,line,confidence,source
TerrainTracksRenderObjClass+0x10|m_bottomIndex|m_totalEdgesAdded,Code/GameEngineDevice/Source/W3DDevice/GameClient/TerrainTracksRenderObjClassDtor.cpp,35,1.00,layout_witness
TerrainTracksRenderObjClass+0x12e8|m_ownerState|m_topIndex,Code/GameEngineDevice/Source/W3DDevice/GameClient/TerrainTracksRenderObjClassSystemClearTracks.cpp,21,1.00,layout_witness
TerrainTracksRenderObjClass+0x12e8|m_ownerState|m_topIndex,Code/GameEngineDevice/Source/W3DDevice/GameClient/TerrainTracksRenderObjClassInit.cpp,54,1.00,layout_witness
TerrainTracksRenderObjClass+0x12e8|m_ownerState|m_topIndex,Code/GameEngineDevice/Source/W3DDevice/GameClient/TerrainTracksRenderObjClassDtor.cpp,39,1.00,layout_witness
TerrainTracksRenderObjClass+0x14|m_activeEdgeCount|m_ownerDrawable,Code/GameEngineDevice/Source/W3DDevice/GameClient/TerrainTracksRenderObjClassInit.cpp,51,1.00,layout_witness
TerrainTracksRenderObjClass+0x14|m_activeEdgeCount|m_ownerDrawable,Code/GameEngineDevice/Source/W3DDevice/GameClient/TerrainTracksRenderObjClassDtor.cpp,36,1.00,layout_witness
TerrainTracksRenderObjClass+0xc|m_topIndex|m_activeEdgeCount,Code/GameEngineDevice/Source/W3DDevice/GameClient/TerrainTracksRenderObjClassSystemClearTracks.cpp,17,1.00,layout_witness
TerrainTracksRenderObjClass+0xc|m_topIndex|m_activeEdgeCount,Code/GameEngineDevice/Source/W3DDevice/GameClient/TerrainTracksRenderObjClassInit.cpp,49,1.00,layout_witness
TerrainTracksRenderObjClass+0xc|m_topIndex|m_activeEdgeCount,Code/GameEngineDevice/Source/W3DDevice/GameClient/TerrainTracksRenderObjClassDtor.cpp,34,1.00,layout_witness
Thing+0x38|m_pos|m_cachedPos,Code/GameEngine/Source/GameLogic/Object/Update/ProductionExitUpdate/QueueProductionExitInterface.cpp,56,1.00,layout_witness
Thing+0x44|m_orientation|m_cachedAngle,Code/GameEngine/Source/GameLogic/Object/Update/Rva0026C7C0ToggleMounted.cpp,47,1.00,layout_witness
Thing+0x44|m_orientation|m_cachedAngle,Code/GameEngine/Source/GameLogic/Object/Update/ProductionExitUpdate/QueueProductionExitInterface.cpp,57,1.00,layout_witness
ThingTemplate+0x60|m_geometry|m_geometryInfo,Code/GameEngine/Source/GameClient/DrawableCaptionAndAmbient.cpp,76,1.00,field_names
ThingTemplate+0xc0|m_kindOf|m_shadowSizeX,Code/GameEngine/Source/Common/RTS/ScoreKeeperCounters.cpp,136,1.00,field_names
UpdateModule+0x14|m_nextCallFrame|m_nextCallFrameAndPhase,Code/GameEngine/Source/GameLogic/System/GameLogicProcessDestroyList.cpp,65,1.00,layout_witness
UpdateModule+0x14|m_nextCallFrame|m_nextCallFrameAndPhase,Code/GameEngine/Source/GameLogic/Object/Update/UpdateModule_getWakeFrame.cpp,36,1.00,layout_witness
W3DAnimationInfo+0x4|m_bfmeTail|m_distanceCovered,Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DAnimationInfoConstCopyBody.cpp,43,1.00,layout_witness
W3DView+0x1dc|m_doingRotateCamera|m_doingMoveCameraOnWaypointPath,Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DViewSetDefaultViewBfme.cpp,40,1.00,layout_witness
WaterRenderObjClass+0x118|m_118|m_useCloudLayer,Code/GameEngineDevice/Source/W3DDevice/GameClient/Water/WaterRenderObjConstructor.cpp,281,1.00,layout_witness
WaterRenderObjClass+0x264|m_264|m_gridDirectionX,Code/GameEngineDevice/Source/W3DDevice/GameClient/Water/WaterRenderObjConstructor.cpp,297,1.00,layout_witness
WaterRenderObjClass+0x26c|m_26c|m_gridDirectionY,Code/GameEngineDevice/Source/W3DDevice/GameClient/Water/WaterRenderObjConstructor.cpp,299,1.00,layout_witness
WaterRenderObjClass+0x274|m_274|m_gridOrigin,Code/GameEngineDevice/Source/W3DDevice/GameClient/Water/WaterRenderObjConstructor.cpp,301,1.00,layout_witness
WaterTransparencySetting+0x30|m_bfmeName|m_standingWaterTexture,Code/GameEngine/Source/Common/WaterTransparencySettingAssign.cpp,56,1.00,field_names
WindowVideo+0x0|m_bfme_head|m_playType,Code/GameEngine/Source/GameClient/GUI/WindowVideo_dtor.cpp,68,1.00,layout_witness
