name,export_rva,target_rva,target_size,source,status,notes
"?Load_W3D@TimeCodedBitChannelClass@@QAE_NAAVChunkLoadClass@@@Z","","0x00977B30","208","Code/Libraries/Source/WWVegas/WW3D2/motchan.cpp","matched",""
"?Load_W3D@VertexMaterialClass@@QAE?AW4WW3DErrorType@@AAVChunkLoadClass@@@Z","","0x00923520","70","Code/Libraries/Source/WWVegas/WW3D2/vertmaterial.cpp","matched",""
"?loadAlphaJoin@W3DRoadBuffer@@IAEXPAVRoadSegment@@VVector2@@1M@Z","","0x0070ED90","566","Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DRoadBuffer.cpp","matched",""
"?loadBridgesInVertexAndIndexBuffers@W3DBridgeBuffer@@IAEXPAV?$RefMultiListIterator@VRenderObjClass@@@@@Z","","0x000367EB","5","Code/GameEngineDevice/Source/W3DDevice/W3DScene/W3DBridgeBufferLoadThunk.cpp","matched","Focused C++ thunk for W3DBridgeBuffer bridge loading"
"?loadCurve@W3DRoadBuffer@@IAEXPAVRoadSegment@@VVector2@@1M@Z","","0x0070A8C0","949","Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DRoadBuffer.cpp","matched",""
"?loadD3DCursorTextures@W3DMouse@@","","0x00701330","559","Code/masm_dumps/_sa7__loadD3DCursorTextures_W3DMouse___701330.asm","matched","Exact 559B Open-BFME4"
"?loadDirectory@INI@@QAEXVAsciiString@@_NW4INILoadType@@PAVXfer@@@Z","","0x00853F10","700","Code/masm_dumps/loadDirectory_INI_QAEXVAsciiString_NW4INILoadType_PAVXfer_Z_853F10.asm","matched","Ghidra boundary and retail *.ini xref-identified body"
"?loadFloat4PtSection@W3DRoadBuffer@@IAEXPAVRoadSegment@@VVector2@@11PAV3@MMMM@Z","","0x000346DF","5","Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DRoadBufferLoadFloat4PtSectionThunk.cpp","matched","5-byte protected W3DRoadBuffer road section thunk converted to focused C++ source"
"?loadFloatSection@W3DRoadBuffer@@IAEXPAVRoadSegment@@VVector2@@1MMMMMM@Z","","0x0070F6A0","573","Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DRoadBuffer.cpp","matched",""
"?loadGame@GameState@@QAE?AW4SaveCode@@UAvailableGameInfo@@@Z","","0x001109CF","521","Code/masm_dumps/_sa__loadGame_GameState__QAE_AW4SaveCode__UAvailableGa_1109CF.asm","matched","Exact 521B string-anchored Open-BFME4"
"?loadGarrisonPoints@GarrisonContain@@IAEXXZ","","0x0021EB50","908","Code/masm_dumps/GarrisonContain_loadGarrisonPoints_21EB50.asm","matched","Exact 908B @ 0x21EB50; queue 0x22ECF1/496 mid dtor+pad misplaced; 3x40 bone+flags+init"
"?loadH@W3DRoadBuffer@@IAEXPAVRoadSegment@@VVector2@@1_NM@Z","","0x0070F330","699","Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DRoadBuffer.cpp","matched",""
"?loadIniFilesFromLegend@SubsystemInterface@@UAE_NXZ","","0x009A1A50","286","Code/GameEngine/Source/Common/System/subsystem_interface.cpp","matched","vtable slot 2 - the legend lookup every subsystem inherits"
"?loadLocalLadders@LadderList@@AAEXXZ","","0x0062BE40","379","Code/GameEngine/Source/Common/LadderList_loadLocalLaddersMethodThunk.cpp","matched","Ghidra-bound retail ladder enumeration body"
"?loadMap@TerrainLogic@@UAE_NVAsciiString@@_N@Z","","0x001AC1E0","293","Code/GameEngine/Source/Common/TerrainLogic_loadMap_Thunk.cpp","matched","Exact 293B Open-BFME4"
"?loadMapINI@GameLogic@@QAEXVAsciiString@@@Z","","0x00386A30","754","Code/GameEngine/Source/Common/GameLogic_loadMapINIMethodThunk.cpp","matched","Exact 754B string-anchored Open-BFME4"
"?LoadPostProcess@ButterflyDrawModuleInfo@FXParticleSystem@@UAEXXZ","0x000073FB","0x005D46D0","1","Code/GameEngine/Source/GameClient/System/FXParticleSystem/fx_particle_system.cpp","matched","no-op"
"?LoadPostProcess@DefaultAlphaModuleInfo@FXParticleSystem@@UAEXXZ","0x0002379F","0x005D4530","1","Code/GameEngine/Source/GameClient/System/FXParticleSystem/fx_particle_system.cpp","matched","no-op"
"?LoadPostProcess@DefaultColorModuleInfo@FXParticleSystem@@UAEXXZ","0x0004B65A","0x005D4550","1","Code/GameEngine/Source/GameClient/System/FXParticleSystem/fx_particle_system.cpp","matched","no-op"
