# Ghidra boundary artifacts among the <= 16 byte functions: RVAs whose
# retail bytes do not read as a complete function, so no source could ever
# reproduce them. tools/gen_small.py never claims one.
#
# Regenerate (deterministic, from the retail image): python3 tools/gen_small.py classify
# Format: 0x<rva> <reason>
0x000276E7 mid-instruction-target: jmp rel32 to 0x001223C0, which is inside a known function and is not one's start
0x0002779B mid-instruction-target: jmp rel32 to 0x0075D420, which is inside a known function and is not one's start
0x00028042 gap-target-padding: jmp rel32 to 0x0005D580, which is int3/nop fill, not a function start
0x000282D6 mid-instruction-target: jmp rel32 to 0x00369460, which is not a function start (FUN_004282d6)
0x00028547 mid-instruction-target: jmp rel32 to 0x000FC430, which is inside a known function and is not one's start
0x000287C2 mid-instruction-target: jmp rel32 to 0x0060DA00, which is inside a known function and is not one's start
0x00028B46 mid-instruction-target: jmp rel32 to 0x006EACC0, which is inside a known function and is not one's start
0x0002909B mid-instruction-target: jmp rel32 to 0x00262970, which is inside a known function and is not one's start
0x00029316 mid-instruction-target: jmp rel32 to 0x003A0510, which is inside a known function and is not one's start
0x00029726 mid-instruction-target: jmp rel32 to 0x001A4210, which is inside a known function and is not one's start
0x000297FD mid-instruction-target: jmp rel32 to 0x003B7260, which is inside a known function and is not one's start
0x00029D70 mid-instruction-target: jmp rel32 to 0x002E2CD0, which is inside a known function and is not one's start
0x00029E83 mid-instruction-target: jmp rel32 to 0x006435D0, which is inside a known function and is not one's start
0x0002A18F mid-instruction-target: jmp rel32 to 0x00337410, which is inside a known function and is not one's start
0x0002A22F mid-instruction-target: jmp rel32 to 0x006003D0, which is inside a known function and is not one's start
0x0002A3AB mid-instruction-target: jmp rel32 to 0x00169F50, which is inside a known function and is not one's start
0x0002A9AF mid-instruction-target: jmp rel32 to 0x0075D640, which is inside a known function and is not one's start
0x0002AA54 mid-instruction-target: jmp rel32 to 0x003AC600, which is inside a known function and is not one's start
0x0002B29C mid-instruction-target: jmp rel32 to 0x0016A000, which is inside a known function and is not one's start
0x0002B2E7 mid-instruction-target: jmp rel32 to 0x00169FF0, which is inside a known function and is not one's start
0x0002B7D8 mid-instruction-target: jmp rel32 to 0x0037D350, which is inside a known function and is not one's start
0x0002BA17 mid-instruction-target: jmp rel32 to 0x0060D9A0, which is inside a known function and is not one's start
0x0002C27D mid-instruction-target: jmp rel32 to 0x000F9310, which is inside a known function and is not one's start
0x0002C3D6 mid-instruction-target: jmp rel32 to 0x00784A40, which is inside a known function and is not one's start
0x0002D3C1 mid-instruction-target: jmp rel32 to 0x00251A10, which is inside a known function and is not one's start
0x0002D691 mid-instruction-target: jmp rel32 to 0x0013D2E0, which is inside a known function and is not one's start
0x0002DC2C mid-instruction-target: jmp rel32 to 0x00570660, which is inside a known function and is not one's start
0x0002E5DC mid-instruction-target: jmp rel32 to 0x000E44A0, which is inside a known function and is not one's start
0x0002E906 mid-instruction-target: jmp rel32 to 0x0075CF30, which is inside a known function and is not one's start
0x0002F117 mid-instruction-target: jmp rel32 to 0x0013D160, which is inside a known function and is not one's start
0x0002F239 mid-instruction-target: jmp rel32 to 0x0036C030, which is inside a known function and is not one's start
0x0002F5B3 mid-instruction-target: jmp rel32 to 0x00784AA0, which is inside a known function and is not one's start
0x0002F6FD mid-instruction-target: jmp rel32 to 0x006C6EC0, which is not a function start (FUN_0042f6fd)
0x0002F9A0 mid-instruction-target: jmp rel32 to 0x0028F010, which is inside a known function and is not one's start
0x0002FD1A mid-instruction-target: jmp rel32 to 0x00584E60, which is inside a known function and is not one's start
0x0002FD56 mid-instruction-target: jmp rel32 to 0x000CA380, which is inside a known function and is not one's start
0x0002FFD6 mid-instruction-target: jmp rel32 to 0x002629B0, which is inside a known function and is not one's start
0x000303B9 mid-instruction-target: jmp rel32 to 0x006068E0, which is inside a known function and is not one's start
0x0003049A mid-instruction-target: jmp rel32 to 0x00258340, which is inside a known function and is not one's start
0x000309E5 mid-instruction-target: jmp rel32 to 0x00433B90, which is inside a known function and is not one's start
0x00030C3D mid-instruction-target: jmp rel32 to 0x003CBD00, which is inside a known function and is not one's start
0x00030CA1 mid-instruction-target: jmp rel32 to 0x00287860, which is inside a known function and is not one's start
0x00031755 mid-instruction-target: jmp rel32 to 0x00360B10, which is inside a known function and is not one's start
0x0003194E mid-instruction-target: jmp rel32 to 0x00696680, which is inside a known function and is not one's start
0x00032344 mid-instruction-target: jmp rel32 to 0x0036BEB0, which is inside a known function and is not one's start
0x00032628 mid-instruction-target: jmp rel32 to 0x00069460, which is inside a known function and is not one's start
0x0003293E mid-instruction-target: jmp rel32 to 0x0036C000, which is inside a known function and is not one's start
0x00032D8A mid-instruction-target: jmp rel32 to 0x00191A80, which is inside a known function and is not one's start
0x00033145 mid-instruction-target: jmp rel32 to 0x00336590, which is inside a known function and is not one's start
0x000331D6 mid-instruction-target: jmp rel32 to 0x0016A010, which is inside a known function and is not one's start
0x000331F9 mid-instruction-target: jmp rel32 to 0x00570620, which is inside a known function and is not one's start
0x000332DF mid-instruction-target: jmp rel32 to 0x00282FB0, which is inside a known function and is not one's start
0x0003350F mid-instruction-target: jmp rel32 to 0x005BFF50, which is inside a known function and is not one's start
0x00033654 mid-instruction-target: jmp rel32 to 0x003BCE40, which is inside a known function and is not one's start
0x000337F3 mid-instruction-target: jmp rel32 to 0x00748FB0, which is inside a known function and is not one's start
0x00033B2C mid-instruction-target: jmp rel32 to 0x00752030, which is inside a known function and is not one's start
0x00033FDC mid-instruction-target: jmp rel32 to 0x004AFDE0, which is inside a known function and is not one's start
0x00034392 mid-instruction-target: jmp rel32 to 0x0052CF40, which is inside a known function and is not one's start
0x00034658 mid-instruction-target: jmp rel32 to 0x006BE420, which is inside a known function and is not one's start
0x00034A27 mid-instruction-target: jmp rel32 to 0x002DF7C0, which is inside a known function and is not one's start
0x00034A72 mid-instruction-target: jmp rel32 to 0x001DE480, which is inside a known function and is not one's start
0x00035B6B mid-instruction-target: jmp rel32 to 0x0079A2C0, which is inside a known function and is not one's start
0x00035C42 mid-instruction-target: jmp rel32 to 0x0060D5D0, which is not a function start (FUN_00435c42)
0x00035D64 mid-instruction-target: jmp rel32 to 0x0039CF50, which is inside a known function and is not one's start
0x00035FF8 mid-instruction-target: jmp rel32 to 0x00784B10, which is inside a known function and is not one's start
0x0003636D mid-instruction-target: jmp rel32 to 0x000B6B20, which is inside a known function and is not one's start
0x00036377 mid-instruction-target: jmp rel32 to 0x0039B870, which is inside a known function and is not one's start
0x000363F4 mid-instruction-target: jmp rel32 to 0x000B9290, which is inside a known function and is not one's start
0x0003648F mid-instruction-target: jmp rel32 to 0x001B4CA0, which is inside a known function and is not one's start
0x00036494 mid-instruction-target: jmp rel32 to 0x0059A670, which is inside a known function and is not one's start
0x000368A9 mid-instruction-target: jmp rel32 to 0x002931C0, which is inside a known function and is not one's start
0x00036F11 mid-instruction-target: jmp rel32 to 0x0076EB10, which is inside a known function and is not one's start
0x00037614 mid-instruction-target: jmp rel32 to 0x0028F070, which is inside a known function and is not one's start
0x000378C1 mid-instruction-target: jmp rel32 to 0x0052CF60, which is inside a known function and is not one's start
0x000379E3 mid-instruction-target: jmp rel32 to 0x00282FE0, which is inside a known function and is not one's start
0x00037DC1 mid-instruction-target: jmp rel32 to 0x00337320, which is inside a known function and is not one's start
0x000392DE mid-instruction-target: jmp rel32 to 0x003D6870, which is inside a known function and is not one's start
0x00039630 mid-instruction-target: jmp rel32 to 0x003374E0, which is inside a known function and is not one's start
0x0003A66B mid-instruction-target: jmp rel32 to 0x001B4B90, which is inside a known function and is not one's start
0x0003AE8B mid-instruction-target: jmp rel32 to 0x000B92B0, which is inside a known function and is not one's start
0x0003B2C8 mid-instruction-target: jmp rel32 to 0x00169FD0, which is inside a known function and is not one's start
0x0003B3C2 mid-instruction-target: jmp rel32 to 0x00783830, which is inside a known function and is not one's start
0x0003BA25 mid-instruction-target: jmp rel32 to 0x006EABE0, which is inside a known function and is not one's start
0x0003BAD4 mid-instruction-target: jmp rel32 to 0x00169FB0, which is inside a known function and is not one's start
0x0003C178 mid-instruction-target: jmp rel32 to 0x00169F70, which is inside a known function and is not one's start
0x0003C1FA mid-instruction-target: jmp rel32 to 0x003C6490, which is inside a known function and is not one's start
0x0003CE66 mid-instruction-target: jmp rel32 to 0x0042E870, which is inside a known function and is not one's start
0x0003CED4 mid-instruction-target: jmp rel32 to 0x0075D150, which is inside a known function and is not one's start
0x0003D5EB mid-instruction-target: jmp rel32 to 0x000B92D0, which is inside a known function and is not one's start
