rva	size	similarity	margin	zh_symbol	zh_source
0x001EC8E0	999	0.65	0.41	?getAbleToAttackSpecificObject@WeaponSet@@QBE?AW4CanAttackResult@@W4AbleToAttackType@@PBVObject@@1W4CommandSourceType@@W4WeaponSlotType@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/WeaponSet.cpp
0x001EEDE0	1216	0.61	0.61	?update@AutoHealBehavior@@UAE?AW4UpdateSleepTime@@XZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Behavior/AutoHealBehavior.cpp
0x0020B340	298	0.81	0.81	?onDie@SpawnBehavior@@UAEXPBVDamageInfo@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Behavior/SpawnBehavior.cpp
0x0020BAE0	743	0.80	0.80	?computeAggregateStates@SpawnBehavior@@QAEXXZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Behavior/SpawnBehavior.cpp
0x0020FBC0	483	0.72	0.72	?attemptHealing@ActiveBody@@UAEXPAVDamageInfo@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Body/ActiveBody.cpp
0x00218A00	381	0.90	0.90	?executeCrateBehavior@UnitCrateCollide@@UAE_NPAVObject@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Collide/CrateCollide/UnitCrateCollide.cpp
0x002284D0	1039	0.81	0.05	?exitObjectViaDoor@OpenContain@@UAEXPAVObject@@W4ExitDoorType@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Contain/OpenContain.cpp
0x002289F0	1040	0.83	0.06	?exitObjectInAHurry@OpenContain@@UAEXPAVObject@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Contain/OpenContain.cpp
0x0022AC00	808	0.74	0.46	?onRemoving@RiderChangeContain@@UAEXPAVObject@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Contain/RiderChangeContain.cpp
0x0022DBA0	285	0.72	0.00	?isValidContainerFor@TransportContain@@UBE_NPBVObject@@_N@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Contain/TransportContain.cpp
0x00238740	232	0.63	0.20	?findMultiplayerColorDefinitionByName@MultiplayerSettings@@QAEPAVMultiplayerColorDefinition@@VAsciiString@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/MultiplayerSettings.cpp
0x00254400	383	0.86	0.86	?onDie@CreateCrateDie@@UAEXPBVDamageInfo@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Die/CreateCrateDie.cpp
0x00254CF0	486	0.85	0.85	?onDie@CrushDie@@UAEXPBVDamageInfo@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Die/CrushDie.cpp
0x002563E0	552	0.93	0.38	?update@ObjectDefectionHelper@@UAE?AW4UpdateSleepTime@@XZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Helper/ObjectDefectionHelper.cpp
