vtable_rva	label	slot	func_rva	func_name
0xD10EBC	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	3	0x15D43	writeINI
0xD10ED0	`vftable'	0	0x3200B	createTemplate
0xD10ED0	`vftable'	1	0x15406	createTemplate
0xD10EDC	`vftable'	0	0x17571	createTemplate
0xD10EDC	`vftable'	1	0xA489	createTemplate
0xD10EE8	`vftable'	0	0x2A734	createTemplate
0xD10EE8	`vftable'	1	0x51F5	createTemplate
0xD10EF4	`vftable'	0	0x42050	createTemplate
0xD10EF4	`vftable'	1	0x1EC63	createTemplate
0xD10F00	`vftable'	0	0x3DDC5	createTemplate
0xD10F00	`vftable'	1	0x277D2	createTemplate
0xD10F0C	`vftable'	0	0x17A76	createTemplate
0xD10F0C	`vftable'	1	0x38C76	createTemplate
0xD10F18	`vftable'	0	0x12922	createTemplate
0xD10F18	`vftable'	1	0x1F343	createTemplate
0xD10F24	`vftable'	0	0x2D646	createTemplate
0xD10F24	`vftable'	1	0x439AF	createTemplate
0xD10F30	`vftable'	0	0x9D95	createTemplate
0xD10F30	`vftable'	1	0x113DD	createTemplate
0xD10F3C	`vftable'	0	0x6F87	createTemplate
0xD10F3C	`vftable'	1	0x16E5A	createTemplate
0xD10F48	`vftable'	0	0x2F063	createTemplate
0xD10F48	`vftable'	1	0x39BB7	createTemplate
0xD10F54	`vftable'	1	0x2379F	LoadPostProcess
0xD10F54	`vftable'	2	0x35CA6	GetSnapshotName
0xD10F54	`vftable'	3	0x2EE88	DoXfer
0xD10F68	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<1>'}	0	0x3D087	getClass
0xD10F68	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<1>'}	1	0x49D1E	thunk_FUN_009daec0
0xD10F68	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<1>'}	2	0x3ADF	clone
0xD10F68	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<1>'}	3	0x3CF5B	createModule
0xD10F68	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<1>'}	4	0x2E492	writeINI
0xD10F6C	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x49D1E	thunk_FUN_009daec0
0xD10F6C	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	1	0x3ADF	clone
0xD10F6C	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	2	0x3CF5B	createModule
0xD10F6C	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	3	0x2E492	writeINI
0xD10F80	`vftable'	1	0x4B65A	LoadPostProcess
0xD10F80	`vftable'	2	0x1B3CE	GetSnapshotName
0xD10F80	`vftable'	3	0x49D64	DoXfer
