rva	size	similarity	margin	zh_symbol	zh_source
0x002C6DD0	470	0.79	0.79	?onEnter@RegroupingState@@UAE?AW4StateReturnType@@XZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate/SupplyTruckAIUpdate.cpp
0x002C7330	177	0.92	0.00	?privateForceAttackObject@TransportAIUpdate@@MAEXPAVObject@@HW4CommandSourceType@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate/TransportAIUpdate.cpp
0x002C7410	177	0.92	0.00	?privateForceAttackObject@TransportAIUpdate@@MAEXPAVObject@@HW4CommandSourceType@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate/TransportAIUpdate.cpp
0x002CEA90	446	0.86	0.86	?doPushOutDocking@RailedTransportDockUpdate@@IAEXXZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/DockUpdate/RailedTransportDockUpdate.cpp
0x002D01E0	534	0.93	0.20	?exitObjectViaDoor@DefaultProductionExitUpdate@@UAEXPAVObject@@W4ExitDoorType@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/ProductionExitUpdate/DefaultProductionExitUpdate.cpp
0x002D2790	565	0.90	0.24	?exitObjectViaDoor@SupplyCenterProductionExitUpdate@@UAEXPAVObject@@W4ExitDoorType@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/ProductionExitUpdate/SupplyCenterProductionExitUpdate.cpp
0x002FFB60	464	0.79	0.35	?doTeamPartialUseCommandButton@ScriptActions@@IAEXMABVAsciiString@@0@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/ScriptEngine/ScriptActions.cpp
0x003006B0	2445	0.65	0.38	?doCreateReinforcements@ScriptActions@@IAEXABVAsciiString@@0@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/ScriptEngine/ScriptActions.cpp
0x003014C0	979	0.66	0.66	?doLoadAllTransports@ScriptActions@@IAEXABVAsciiString@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/ScriptEngine/ScriptActions.cpp
0x0032B730	211	0.97	0.97	?evaluateNamedSelected@ScriptConditions@@IAE_NPAVCondition@@PAVParameter@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/ScriptEngine/ScriptConditions.cpp
0x0032BC80	828	0.66	0.16	?evaluateSkirmishValueInArea@ScriptConditions@@IAE_NPAVCondition@@PAVParameter@@111@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/ScriptEngine/ScriptConditions.cpp
0x0033E880	229	0.63	0.05	?addRadar@Player@@QAEX_N@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/RTS/Player.cpp
0x00362F30	229	0.90	0.04	??0MeshGeometryClass@@QAE@ABV0@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/meshgeometry.cpp
0x0038A9F0	737	0.73	0.73	?placeNetworkBuildingsForPlayer@@YAXHPBVGameSlot@@PAVPlayer@@PBVPlayerTemplate@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/System/GameLogic.cpp
0x0038F4B0	608	0.69	0.69	?reset@GameLogic@@UAEXXZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/System/GameLogic.cpp
0x00390A50	1071	0.62	0.62	?populateRandomSideAndColor@@YAXPAVGameInfo@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/System/GameLogic.cpp
0x003A18D0	270	0.71	0.01	??0MeshClass@@QAE@ABV0@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/mesh.cpp
0x003A39C0	160	0.69	0.69	?Generate_Culling_Tree@MeshGeometryClass@@IAEXXZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/meshgeometry.cpp
0x003C2FC0	394	0.66	0.06	??0DecalGeneratorClass@@IAE@KPAVDecalSystemClass@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/decalsys.cpp
0x003C97B0	366	0.65	0.03	??1SpecialPowerStore@@UAE@XZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/RTS/SpecialPower.cpp
0x003CA480	265	0.77	0.00	??1SpecialPowerStore@@UAE@XZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/RTS/SpecialPower.cpp
0x003CED50	290	0.67	0.02	??0LookupTableClass@@QAE@H@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WWMath/lookuptable.cpp
0x003D60E0	152	0.85	0.85	?computeNormalRadialOffset@@YAXABUCoord3D@@AAU1@0PAVObject@@M@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003D6210	181	0.74	0.74	?checkForPossible@Pathfinder@@IAE_N_NH0ABVLocomotorSet@@HHW4PathfindLayerEnum@@PAUCoord3D@@0@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003D80F0	749	0.61	0.61	?newMap@Pathfinder@@QAEXXZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003DCBA0	373	0.74	0.74	?circleClipsTallBuilding@Pathfinder@@IAE_NPBUCoord3D@@0MW4ObjectID@@PAU2@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003DD930	987	0.63	0.39	?prependCells@Pathfinder@@IAEXPAVPath@@PBUCoord3D@@PAVPathfindCell@@_N@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003E5E40	460	0.63	0.09	?checkDestination@Pathfinder@@IAE_NPBVObject@@HHW4PathfindLayerEnum@@H_N@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003E6300	1462	0.71	0.40	?adjustToPossibleDestination@Pathfinder@@QAE_NPAVObject@@ABVLocomotorSet@@PAUCoord3D@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003EAC80	1101	0.83	0.24	?adjustToPossibleDestination@Pathfinder@@QAE_NPAVObject@@ABVLocomotorSet@@PAUCoord3D@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003EB1F0	1678	0.60	0.41	?snapClosestGoalPosition@Pathfinder@@QAEXPAVObject@@PAUCoord3D@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003EC141	1520	0.63	0.32	?patchPath@Pathfinder@@EAEPAVPath@@PBVObject@@ABVLocomotorSet@@PAV2@_N@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003EC8C0	750	0.77	0.42	?findSafePath@Pathfinder@@EAEPAVPath@@PBVObject@@ABVLocomotorSet@@PBUCoord3D@@22M@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003ECC70	640	0.94	0.94	?segmentIntersectsTallBuilding@Pathfinder@@IAE_NPBVPathNode@@PAV2@W4ObjectID@@PAUCoord3D@@33@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003EDC50	657	0.83	0.83	?getAircraftPath@Pathfinder@@QAEPAVPath@@PBVObject@@PBUCoord3D@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
