finding,file,line,confidence,source
AABTreeClass+0xc|m_bfmeRoot|Nodes,game/GameEngine/Source/Common/BfmeConv911.cpp,30,1.00,layout_witness
MetaMapRec+0x0|m_next|m_transition,game/GameEngine/Source/GameClient/MessageStream/MetaMap_getMetaMapRecThunk.cpp,52,1.00,field_names
ModuleInfo+0x0|m_begin|m_info,game/GameEngine/Source/GameLogic/Object/Object_rva001CA550_ghostDraw.cpp,53,1.00,layout_witness
ModuleInfo+0x0|m_begin|m_info,game/GameEngine/Source/Common/Thing/ModuleInfoClearCopiedFromDefaultEntries.cpp,39,1.00,layout_witness
ModuleInfo+0x0|m_begin|m_info,game/GameEngine/Source/Common/Thing/ModuleInfoClearAi.cpp,35,1.00,layout_witness
Mouse+0x1104|m_cursorText|m_tooltipString,game/GameEngine/Source/GameClient/Input/Mouse_init.cpp,60,1.00,layout_witness
Mouse+0x110c|m_displayTooltip|m_forceFeedback,game/GameEngine/Source/GameClient/Input/Mouse_init.cpp,62,1.00,layout_witness
Mouse+0x4d10|m_posX|m_currMouse,game/GameEngine/Source/GameClient/Input/Mouse_drawCursorText.cpp,43,0.91,layout_witness
Mouse+0x4d10|m_pos|m_currMouse,game/GameEngine/Source/GameClient/InGameUIBodies.cpp,147,0.91,layout_witness
Mouse+0x4da8|m_mouseCursor|m_currentCursor,game/GameEngine/Source/GameClient/MessageStream/LookAtTranslator_setScrolling_Bfme.cpp,81,1.00,layout_witness
MultiListObjectClass+0x4|m_listNode|ListNode,game/GameEngine/Source/Common/Thing/W3DLightDrawDestructor.cpp,69,1.00,layout_witness
MultiListObjectClass+0x4|m_listNode|ListNode,game/GameEngineDevice/Source/W3DDevice/GameClient/RTS2DScene_Ctor_Thunk.cpp,104,1.00,layout_witness
MultiListObjectClass+0x4|m_listNode|ListNode,game/GameEngineDevice/Source/W3DDevice/GameClient/W3DStatusCircleCtorThunk.cpp,52,1.00,layout_witness
MultiListObjectClass+0x4|m_next|ListNode,game/Libraries/Source/WWVegas/WW3D2/SimpleSceneClass_Add_Render_Object_Thunk.cpp,22,1.00,layout_witness
MultiListObjectClass+0x4|m_next|ListNode,game/Libraries/Source/WWVegas/WW3D2/SimpleSceneClass_Register_Thunk.cpp,29,1.00,layout_witness
MultiListObjectClass+0x4|m_next|ListNode,game/Libraries/Source/WWVegas/WW3D2/SimpleSceneClass_Unregister_Thunk.cpp,22,1.00,layout_witness
MultiListObjectClass+0x4|m_next|ListNode,game/Libraries/Source/WWVegas/WW3D2/SimpleSceneClass_Remove_Render_Object_Thunk.cpp,19,1.00,layout_witness
MultiListObjectClass+0x4|m_prev|ListNode,game/Libraries/Source/WWVegas/WW3D2/MeshClassBaseDestructor.cpp,45,1.00,layout_witness
MultiListObjectClass+0x4|m_prev|ListNode,game/Libraries/Source/WWVegas/WW3D2/RenderObjClassDestructorThunk.cpp,49,1.00,layout_witness
MultiplayerColorDefinition+0x0|m_bfmeColor|m_tooltipName,game/GameEngine/Source/Common/Bfme5MatPassCtors.cpp,58,1.00,layout_witness
NetCommandList+0xc|m_lastInserted|m_lastMessageInserted,game/GameEngine/Source/GameNetwork/ConnectionManager_getFrameCommandList.cpp,17,0.93,layout_witness
OBBoxClass+0x0|m_unreconstructed_00|Basis,game/Libraries/Source/WWVegas/WW3D2/AABTreeClass_OBBoxAPTContextStruct_Ctor_Thunk.cpp,22,1.00,layout_witness
OCLSpecialPowerModuleData+0x210|m_upgradeBegin|m_upgradeOCL,game/GameEngine/Source/GameLogic/Object/SpecialPower/OCLSpecialPowerFindOCL.cpp,34,1.00,field_names
OCLUpdate+0x20|m_bfmeTargetFrame|m_nextCreationFrame,game/GameEngine/Source/GameLogic/Object/Update/OCLUpdate_getRemainingFrames.cpp,30,1.00,layout_witness
Object+0x344|m_bfmeConditionA|m_privateStatus,game/GameEngine/Source/Common/Gen_00287670_BfmeUpdate.cpp,61,1.00,layout_witness
Object+0x344|m_deadFlags|m_privateStatus,game/GameEngine/Source/GameLogic/AI/AIGuardRetaliateReturnState_update.cpp,91,1.00,layout_witness
Object+0x344|m_deadFlags|m_privateStatus,game/GameEngine/Source/GameLogic/AI/AIMoveAndEvacuateState.cpp,91,1.00,layout_witness
Object+0x344|m_deadFlags|m_privateStatus,game/GameEngine/Source/GameLogic/AI/AIGuardOuterState_update_Bfme.cpp,35,1.00,layout_witness
Object+0x344|m_flags|m_privateStatus,game/GameEngine/Source/Common/Rva0016D5F0PathTest.cpp,42,1.00,layout_witness
Object+0x344|m_status|m_privateStatus,game/GameEngine/Source/GameLogic/Object/Behavior/SlaveWatcherBehavior_update.cpp,41,1.00,layout_witness
Object+0x344|m_unreconstructed_344|m_privateStatus,game/GameEngine/Source/GameLogic/Object/Update/Rva00265DF0Neutral.cpp,40,1.00,layout_witness
Object+0x74|m_74|m_id,game/GameEngine/Source/Common/Rva00232350Melee.cpp,11,1.00,layout_witness
Object+0x74|m_bfme74YB|m_id,game/GameEngine/Source/GameLogic/Object/BfmeConv2095.cpp,13,1.00,layout_witness
Object+0x74|m_entryKey|m_id,game/GameEngine/Source/GameLogic/Object/Upgrade/CostModifierUpgradeRemoval.cpp,71,1.00,layout_witness
Object+0x74|m_reference|m_id,game/GameEngine/Source/GameLogic/ScriptEngine/ScriptEngineAssignUnitReference.cpp,37,1.00,layout_witness
Object+0x78|m_bfmeKeyZK|m_producerID,game/GameEngine/Source/GameLogic/Object/Object_queryRva001C9980.cpp,55,1.00,layout_witness
Object+0x88|m_nextObject|m_next,game/GameEngine/Source/Common/StatsCollector.cpp,168,1.00,layout_witness
Object+0x88|m_nextObject|m_next,game/GameEngine/Source/GameLogic/AI/AIPlayer_findFactory.cpp,52,1.00,layout_witness
Object+0x88|m_nextObject|m_next,game/GameEngine/Source/GameLogic/Map/Bridge.cpp,77,1.00,layout_witness
Object+0x88|m_nextObject|m_next,game/GameEngine/Source/GameLogic/Object/Update/BfmeObjectReferenceStoreClear.cpp,9,1.00,layout_witness
Object+0x88|m_prev|m_next,game/GameEngine/Source/GameLogic/Object/ObjectRemoveFromList.cpp,14,1.00,layout_witness
