file,status,located,ambiguous,unlocated,blocker,landable
Libraries/Source/WWVegas/WWLib/mpu.cpp,compile-error,0,0,0,C2668 'abs' : ambiguous call to overloaded function,
Libraries/Source/WWVegas/WWLib/msgloop.cpp,compile-error,0,0,0,C2226 syntax error : unexpected type 'HWND',
Libraries/Source/WWVegas/WWLib/mutex.cpp,ok,6,0,0,,
Libraries/Source/WWVegas/WWLib/obscure.cpp,ok,0,0,1,,
Libraries/Source/WWVegas/WWLib/palette.cpp,ok,0,0,11,,
Libraries/Source/WWVegas/WWLib/pcx.cpp,ok,0,4,6,,
Libraries/Source/WWVegas/WWLib/pkpipe.cpp,ok,0,3,10,,
Libraries/Source/WWVegas/WWLib/pkstraw.cpp,ok,0,3,10,,
Libraries/Source/WWVegas/WWLib/point.cpp,ok,0,0,0,,
Libraries/Source/WWVegas/WWLib/ramfile.cpp,ok,0,2,9,,
Libraries/Source/WWVegas/WWLib/rc4.cpp,ok,0,0,7,,
Libraries/Source/WWVegas/WWLib/rcfile.cpp,compile-error,0,0,0,C2065 'HRSRC' : undeclared identifier,
Libraries/Source/WWVegas/WWLib/refcount.cpp,ok,0,0,0,,
Libraries/Source/WWVegas/WWLib/regexpr.cpp,missing-header,0,0,0,gnu_regex.h,
Libraries/Source/WWVegas/WWLib/registry.cpp,compile-error,0,0,0,C2143 syntax error : missing ';' before 'const',
Libraries/Source/WWVegas/WWLib/rgb.cpp,ok,0,0,5,,
Libraries/Source/WWVegas/WWLib/rle.cpp,ok,0,0,4,,
Libraries/Source/WWVegas/WWLib/rndstraw.cpp,ok,0,1,9,,
Libraries/Source/WWVegas/WWLib/rndstrng.cpp,ok,0,0,4,,
Libraries/Source/WWVegas/WWLib/sampler.cpp,ok,0,5,14,,
Libraries/Source/WWVegas/WWLib/sha.cpp,compile-error,0,0,0,"C2084 function 'void *operator new[](size_t,void *)' already has a body",
Libraries/Source/WWVegas/WWLib/shapipe.cpp,ok,0,0,1,,
Libraries/Source/WWVegas/WWLib/shastraw.cpp,ok,0,0,1,,
Libraries/Source/WWVegas/WWLib/slnode.cpp,ok,0,2,0,,
